名字,性别,时间,评论,点赞数,回复数
生生heartless,女,2020-06-04 23:10:14,和愣子和炒不烂子[OK]土豆做的，超级好吃,0,0
威海漫展Official,女,2020-06-04 23:09:37,我们这叫 地蛋子[doge],0,0
darling1602015,男,2020-06-04 23:09:03,咋说，大姐头太火了...以至于初中说明文阅读中都出现了李子柒，题目还有点难，哈哈哈[吃瓜],1,2
辞小蔻,保密,2020-06-04 23:07:56,感谢字幕君[打call],0,0
張小岼,保密,2020-06-04 23:07:41,草木灰裹土豆，是童年的记忆[呲牙],0,0
Track-07,保密,2020-06-04 23:06:50,很好,0,0
看见我请踢我去学习,保密,2020-06-04 23:06:25,爱你就像爱土豆一样，天天都得有[捂眼],0,0
看见我叫我过去看书,保密,2020-06-04 23:05:56,太有诗意了[酸了]我为什么没有早点发现这个up,0,0
YO0o叶凌,保密,2020-06-04 23:05:07,自由,0,0
蕾蕾的酒窝真可爱,女,2020-06-04 23:03:25,不是 我就纳闷了 子柒每次都那么认真辛苦地做视频 努力做好文化输出 为什么每次都有憨批来踩tag？？你们他妈的是有多见不得别人好？是有多阴暗？路过的各位顶一下tag吧 长按就可以了 踩tag会降热度 就会少很多人看到这么优质的视频。,7,0
风月夜归人g,男,2020-06-04 23:01:25,最后那个碰杯我好像懂了,0,0
丶稻小壳,女,2020-06-04 23:01:00,指头怎么了 要不要紧,0,0
粥小贩子,男,2020-06-04 23:00:55,原来有紫色的土豆，我真是孤陋寡闻[酸了],2,0
大头香蕉与水果,男,2020-06-04 22:59:19,视频中有看到子柒手指受伤了，注意安全呀子柒~,0,0
你他妈还不滚去学习,保密,2020-06-04 22:57:57,什么都会的仙女。棒呆！,0,0
九黎阿寒,保密,2020-06-04 22:56:47,看到弹幕叫“老婆”的，老实说真的很恶心，尊重才是喜欢的前提，口头上占便宜来自我满足和幻想只会显得你可悲可怜素质低下，真的喜欢的话，请懂得尊重。,4,0
青嵐半江渔火,保密,2020-06-04 22:54:13,今天才看完姐姐的视频，晚上切土豆就切到手了[tv_腼腆],0,0
干一杯红醋,男,2020-06-04 22:53:11,看到有条弹幕 说让姐姐去向往的生活 太同意了 这才是向往的生活,0,0
剑帝H,男,2020-06-04 22:53:03,真的很漂亮，好能干。羡慕能娶她的人。,0,0
蒙古全能,保密,2020-06-04 22:52:19,看起来不穷，咋用的都是底层厨具,0,0
池渊故人,男,2020-06-04 22:52:17,我觉有得必要给我妈安利一下子柒[热词系列_知识增加],0,0
幽灵的舞,保密,2020-06-04 22:51:49,倒不是看饿了，是看馋了。,0,0
夜雨hl,男,2020-06-04 22:51:23,天天做家务农活的，手伤害很正常。。。,0,0
子不语丶u,男,2020-06-04 22:46:53,加油！酸死那群柠檬精键盘侠！！！,1,0
是88七哦,男,2020-06-04 22:46:15,子柒的家简直是仙境吧，太美了[惊喜][惊喜][惊喜][惊喜],0,0
abina,男,2020-06-04 22:46:09,向往的生活,0,0
睇我个名做咩,保密,2020-06-04 22:44:57,@小萨666 [doge],0,0
猫小喵★,女,2020-06-04 22:43:48,最后叮的一下碰杯直接泪目，希望柒儿被世界温柔以待[爱心],1,0
青春太冏,女,2020-06-04 22:43:30,今天我们校长讲了你[微笑],0,0
祁泣seven,女,2020-06-04 22:39:26,最近学校土豆有吃吐，我肚子累了[笑哭],0,0
一定有个人HWZ,男,2020-06-04 22:38:42,[鼓掌]刚来，美好各种。,0,0
德芙白丝萝莉,保密,2020-06-04 22:38:35,政治考了2次 李子柒了[doge][doge][doge],2,0
NeilJinn,男,2020-06-04 22:38:02,我天 土豆专场 我太爱了,0,0
迅猛龙叶博炜,保密,2020-06-04 22:37:28,支持(=・ω・=),1,0
红茶坊h,保密,2020-06-04 22:37:22,看了弹幕说土豆能减肥(ಡωಡ),0,0
迅猛龙叶博炜,保密,2020-06-04 22:37:18,(｀・ω・´),1,0
映映红红,女,2020-06-04 22:36:51,再说一遍，柒姐简直仙女！！！,0,0
sivanLAN,保密,2020-06-04 22:36:22,最爱土豆！！！,0,0
緑茶_twanzy,保密,2020-06-04 22:34:00,她的视频也太精致了吧,0,0
13827510951,保密,2020-06-04 22:33:03,再次从时长想到一些让人担心的东西。这期比上期短点儿，但也是所有第三长的了。上月又荣获丰收节大使，从人民极度喜爱到官方高度认可，我看到的是，盛誉之下，是仙女承受的压力。一个天性善良的人，获得的同时肯定会希望有更多回馈，但我们的仙女能力是有上限的，去掉光环也只是个受过苦能吃苦学习能力动手能力强的普通人。对了，必须、特别得加上审美能力极强这一点。回到普通人这一点上，换位思考吧，仙女自己说过的幸福生活，真铁粉知道内容的。窃以为，只有粉丝喜爱就够了。,1,0
丿宵夜,男,2020-06-04 22:31:14,我看到杏子到奶奶手上的时候，为什么哭了啊[2233娘_大哭],0,0
茶君__,保密,2020-06-04 22:26:53,关于龙虾，我认为最好吃的做法是整只下锅，且不论处理的时候去不去虾线，你就算只去个头再立即下锅都会影响口感，死龙虾肉质会特别烂，一口就能吃出来，所以不要纠结虾线的问题了，反正就算处理的时候没去掉，你吃的时候也会手动去虾线的。,0,0
桑鱼非碗,女,2020-06-04 22:25:40,刚去油管看了下，发现油管把我对李子柒的订阅取消了[呆],1,0
诸葛谦,保密,2020-06-04 22:25:24,我哭了，你们呢？[大哭],0,0
西瓜的皮卡丘,保密,2020-06-04 22:24:40,看饿了,0,0
歌隼霓裳阿史那,保密,2020-06-04 22:23:23,如果要说一种这辈子都不会吃腻的蔬菜，那就是土豆。[打call],0,0
清风无衣520,保密,2020-06-04 22:22:00,小心点，切手了！好心疼☺😓,2,0
我想叫你妈当咱妈,保密,2020-06-04 22:21:46,小森林既视感[口罩],0,0
-Cthulhu-臭鼬-,男,2020-06-04 22:21:18,我有个ZZ同学竟然说李子柒拍视频只是为了火（我为我有这样的同学感到悲哀[捂脸]）,7,6
___妤___,女,2020-06-04 22:20:15,我只会土豆炖肉一个菜,0,0
喵喵洋刄,保密,2020-06-04 22:14:01,最后那一下你懂了吗,0,0
mnaviey,保密,2020-06-04 22:12:48,jiuzhe,0,0
